PLAYER_SK,Player_Id,Player_Name,Country_Name
0,1,SC Ganguly,India
1,2,BB McCullum,New Zealand
2,3,RT Ponting,Australia
3,4,DJ Hussey,Australia
4,5,Mohammad Hafeez,Pakistan
5,6,R Dravid,India
6,7,W Jaffer,India
7,8,V Kohli,India
8,9,JH Kallis,South Africa
9,10,CL White,Australia
10,11,MV Boucher,South Africa
11,12,B Akhil,India
12,13,AA Noffke,Australia
13,14,P Kumar,India
14,15,Z Khan,India
15,16,SB Joshi,India
16,17,PA Patel,India
17,18,ML Hayden,Australia
18,19,MEK Hussey,Australia
19,20,MS Dhoni,India
20,21,SK Raina,India
21,22,JDP Oram,New Zealand
22,23,S Badrinath,India
23,24,K Goel,India
24,25,JR Hopes,Australia
25,26,KC Sangakkara,Sri Lanka
26,27,Yuvraj Singh,India
27,28,SM Katich,Australia
28,29,IK Pathan,India
29,30,T Kohli,India
30,31,YK Pathan,India
31,32,SR Watson,Australia
32,33,M Kaif,India
33,34,DS Lehmann,Australia
34,35,RA Jadeja,India
35,36,M Rawat,India
36,37,D Salunkhe,India
37,38,SK Warne,Australia
38,39,SK Trivedi,India
39,40,G Gambhir,India
40,41,V Sehwag,India
41,42,S Dhawan,India
42,43,L Ronchi,Australia
43,44,ST Jayasuriya,Sri Lanka
44,45,DJ Thornely,Australia
45,46,RV Uthappa,India
46,47,PR Shah,India
47,48,AM Nayar,India
48,49,SM Pollock,South Africa
49,50,Harbhajan Singh,India
50,51,S Chanderpaul,West Indies
51,52,LRPL Taylor,New Zealand
52,53,AC Gilchrist,Australia
53,54,Y Venugopal Rao,India
54,55,VVS Laxman,India
55,56,A Symonds,Australia
56,57,RG Sharma,India
57,58,SB Styris,New Zealand
58,59,SB Bangar,India
59,60,WPUJC Vaas,Sri Lanka
60,61,RP Singh,India
61,62,WP Saha,India
62,63,LR Shukla,India
63,64,DPMD Jayawardene,Sri Lanka
64,65,S Sohal,India
65,66,B Lee,Australia
66,67,PP Chawla,India
67,68,WA Mota,India
68,69,Kamran Akmal,Pakistan
69,70,Shahid Afridi,Pakistan
70,71,DJ Bravo,West Indies
71,72,MA Khote,India
72,73,A Nehra,India
73,74,GC Smith,South Africa
74,75,Pankaj Singh,India
75,76,RR Sarwan,West Indies
76,77,S Sreesanth,India
77,78,VRV Singh,India
78,79,SS Tiwary,India
79,80,DS Kulkarni,India
80,81,R Vinay Kumar,India
81,82,AB Agarkar,India
82,83,M Kartik,India
83,84,I Sharma,India
84,85,AM Rahane,India
85,86,Shoaib Malik,Pakistan
86,87,MK Tiwary,India
87,88,KD Karthik,India
88,89,R Bhatia,India
89,90,MF Maharoof,India
90,91,VY Mahesh,India
91,92,TM Srivastava,India
92,93,B Chipli,India
93,94,DW Steyn,South Africa
94,95,DB Das,India
95,96,MK Pandey,India
96,97,HH Gibbs,South Africa
97,98,DNT Zoysa,Sri Lanka
98,99,D Kalyankrishna,India
99,100,SE Marsh,Australia
100,101,SA Asnodkar,India
101,102,Sohail Tanvir,Pakistan
102,103,Salman Butt,Pakistan
103,104,BJ Hodge,Australia
104,105,Umar Gul,Pakistan
105,106,AB Dinda,India
106,107,SP Fleming,New Zealand
107,108,S Vidyut,India
108,109,JA Morkel,South Africa
109,110,AB de Villiers,South Africa
110,111,LPC Silva,Sri Lanka
111,112,DB Ravi Teja,India
112,113,Misbah-ul-Haq,Pakistan
113,114,YV Takawale,India
114,115,RR Raje,India
115,116,PJ Sangwan,India
116,117,Mohammad Asif,Pakistan
117,118,GD McGrath,Australia
118,119,Joginder Sharma,India
119,120,MS Gony,India
120,121,M Muralitharan,Sri Lanka
121,122,M Ntini,South Africa
122,123,DT Patil,India
123,124,A Kumble,India
124,125,S Anirudha,India
125,126,MM Patel,India
126,127,CK Kapugedera,Sri Lanka
127,128,A Chopra,India
128,129,T Taibu,Zimbabwea
129,130,J Arunkumar,India
130,131,PP Ojha,India
131,132,SP Goswami,India
132,133,SR Tendulkar,India
133,134,U Kaul,India
134,135,TM Dilshan,Sri Lanka
135,136,A Mishra,India
136,137,AD Mascarenhas,England
137,138,NK Patel,India
138,139,LA Pomersbach,Australia
139,140,Iqbal Abdulla,India
140,141,Younis Khan,Pakistan
141,142,PM Sarvesh Kumar,India
142,143,DP Vijaykumar,India
143,144,Shoaib Akhtar,Pakistan
144,145,Abdur Razzak,Bangladesh
145,146,H Das,India
146,147,DR Smith,West Indies
147,148,SD Chitnis,India
148,149,CRD Fernando,Sri Lanka
149,150,VS Yeligati,India
150,151,L Balaji,India
151,152,A Mukund,India
152,153,RR Powar,India
153,154,JP Duminy,South Africa
154,155,A Flintoff,England
155,156,T Thushara,Sri Lanka
156,157,JD Ryder,New Zealand
157,158,KP Pietersen,South Africa
158,159,T Henderson,South Africa
159,160,Kamran Khan,India
160,161,RS Bopara,England
161,162,CH Gayle,West Indies
162,163,MC Henriques,Australia
163,164,R Bishnoi,India
164,165,FH Edwards,West Indies
165,166,KV Sharma,India
166,167,PC Valthaty,India
167,168,RJ Quiney,Australia
168,169,AS Raut,India
169,170,Yashpal Singh,India
170,171,M Manhas,India
171,172,AA Bilakhia,India
172,173,AN Ghosh,India
173,174,BAW Mendis,Sri Lanka
174,175,DL Vettori,New Zealand
175,176,MN van Wyk,South Africa
176,177,RE van der Merwe,South Africa
177,178,TL Suman,India
178,179,Shoaib Ahmed,Pakistan
179,180,GR Napier,England
180,181,KP Appanna,India
181,182,LA Carseldine,Australia
182,183,NV Ojha,India
183,184,SM Harwood,Australia
184,185,M Vijay,India
185,186,SB Jakati,India
186,187,DA Warner,Australia
187,188,RJ Harris,Australia
188,189,D du Preez,South Africa
189,190,M Morkel,South Africa
190,191,AD Mathews,Sri Lanka
191,192,J Botha,South Africa
192,193,C Nanda,India
193,194,SL Malinga,Sri Lanka
194,195,Mashrafe Mortaza,Bangladesh
195,196,A Singh,India
196,197,GJ Bailey,Australia
197,198,AB McDonald,Australia
198,199,Y Nagar,India
199,200,SS Shaikh,India
200,201,R Ashwin,India
201,202,Mohammad Ashraful,Bangladesh
202,203,CA Pujara,India
203,204,OA Shah,England
204,205,Anirudh Singh,India
205,206,Jaskaran Singh,India
206,207,AP Tare,India
207,208,AT Rayudu,India
208,209,R Sathish,India
209,210,R McLaren,South Africa
210,211,AA Jhunjhunwala,India
211,212,P Dogra,India
212,213,A Uniyal,India
213,214,MS Bisla,India
214,215,YA Abdulla,India
215,216,EJG Morgan,England
216,217,JM Kemp,South Africa
217,218,S Tyagi,India
218,219,RS Gavaskar,India
219,220,SE Bond,New Zealand
220,221,KA Pollard,West Indies
221,222,S Ladda,India
222,223,DP Nannes,Australia
223,224,MJ Lumb,England
224,225,DR Martyn,Australia
225,226,S Narwal,India
226,227,AB Barath,India
227,228,Bipul Sharma,India
228,229,FY Fazal,India
229,230,AC Voges,Australia
230,231,MD Mishra,India
231,232,UT Yadav,India
232,233,J Theron,South Africa
233,234,SJ Srivastava,India
234,235,R Sharma,India
235,236,Mandeep Singh,India
236,237,KM Jadhav,India
237,238,SW Tait,Australia
238,239,KB Arun Karthik,India
239,240,KAJ Roach,West Indies
240,241,PD Collingwood,England
241,242,CK Langeveldt,England
242,243,VS Malik,India
243,244,A Mithun,India
244,245,AP Dole,India
245,246,AN Ahmed,India
246,247,RS Sodhi,India
247,248,DE Bollinger,Australia
248,249,S Sriram,India
249,250,B Sumanth,India
250,251,C Madan,India
251,252,AG Paunikar,India
252,253,MR Marsh,Australia
253,254,AJ Finch,Australia
254,255,STR Binny,India
255,256,Harmeet Singh,India
256,257,IR Jaggi,India
257,258,DT Christian,Australia
258,259,RV Gomez,India
259,260,MA Agarwal,India
260,261,AUK Pathan,India
261,262,UBT Chand,India
262,263,DJ Jacobs,South Africa
263,264,Sunny Singh,India
264,265,NJ Rimmington,Australia
265,266,AL Menaria,India
266,267,WD Parnell,South Africa
267,268,JJ van der Wath,South Africa
268,269,R Ninan,India
269,270,S Aravind,India
270,271,MS Wade,Australia
271,272,TD Paine,Australia
272,273,SB Wagh,India
273,274,AC Thomas,England
274,275,JEC Franklin,New Zealand
275,276,Shakib Al Hasan,Bangladesh
276,277,DH Yagnik,India
277,278,S Randiv,Sri Lanka
278,279,BJ Haddin,Australia
279,280,NLTC Perera,Sri Lanka
280,281,NL McCullum,New Zealand
281,282,JE Taylor,New Zealand
282,283,J Syed Mohammad,India
283,284,RN ten Doeschate,Netherlands
284,285,TR Birt,Australia
285,286,AG Murtaza,India
286,287,Harpreet Singh,India
287,288,M Klinger,Australia
288,289,AC Blizzard,Australia
289,290,I Malhotra,India
290,291,L Ablish,India
291,292,CA Ingram,South Africa
292,293,S Nadeem,India
293,294,P Parameswaran,India
294,295,CJ Ferguson,Australia
295,296,VR Aaron,India
296,297,AA Chavan,India
297,298,ND Doshi,India
298,299,B Kumar,India
299,300,Y Gnaneswara Rao,India
300,301,S Rana,India
301,302,BA Bhatt,India
302,303,F du Plessis,South Africa
303,304,RE Levi,South Africa
304,305,GJ Maxwell,Australia
305,306,SPD Smith,India
306,307,MN Samuels,West Indies
307,308,SA Yadav,India
308,309,KK Cooper,West Indies
309,310,JP Faulkner,Australia
310,311,HV Patel,India
311,312,DAJ Bracewell,New Zealand
312,313,DJ Harris,Australia
313,314,Ankit Sharma,India
314,315,SP Narine,West Indies
315,316,GB Hogg,Australia
316,317,RR Bhatkal,India
317,318,CJ McKay,Australia
318,319,N Saini,India
319,320,DA Miller,South Africa
320,321,Azhar Mahmood,Pakistan
321,322,P Negi,India
322,323,RJ Peterson,South Africa
323,324,KMDN Kulasekara,Sri Lanka
324,325,A Ashish Reddy,India
325,326,V Pratap Singh,India
326,327,BB Samantray,India
327,328,MJ Clarke,Australia
328,329,Gurkeerat Singh,India
329,330,AP Majumdar,India
330,331,PA Reddy,India
331,332,K Upadhyay,India
332,333,P Awana,India
333,334,AD Russell,West Indies
334,335,A Chandila,India
335,336,CA Lynn,Australia
336,337,Sunny Gupta,India
337,338,MC Juneja,India
338,339,KK Nair,India
339,340,GH Vihari,India
340,341,MDKJ Perera,Sri Lanka
341,342,R Shukla,India
342,343,B Laughlin,Australia
343,344,AS Rajpoot,India
344,345,M Vohra,India
345,346,JD Unadkat,India
346,347,Mohammed Shami,India
347,348,BMAJ Mendis,Sri Lanka
348,349,R Rampaul,West Indies
349,350,CH Morris,South Africa
350,351,SV Samson,India
351,352,SMSM Senanayake,Sri Lanka
352,353,BJ Rohrer,Australia
353,354,KL Rahul,India
354,355,Q de Kock,South Africa
355,356,R Dhawan,India
356,357,MG Johnson,Australia
357,358,LJ Wright,England
358,359,IC Pandey,India
359,360,CM Gautam,India
360,361,X Thalaivan Sargunam,India
361,362,DJG Sammy,West Indies
362,363,KW Richardson,Australia
363,364,MM Sharma,India
364,365,UA Birla,India
365,366,Parvez Rasool,India
366,367,Sandeep Sharma,India
367,368,S Kaul,India
368,369,Sachin Baby,India
369,370,PV Tambe,India
370,371,NM Coulter-Nile,Australia
371,372,CJ Anderson,New Zealand
372,373,NJ Maddinson,Australia
373,374,AR Patel,India
374,375,JJ Bumrah,India
375,376,JDS Neesham,New Zealand
376,377,TG Southee,New Zealand
377,378,MA Starc,Australia
378,379,BR Dunk,Australia
379,380,RR Rossouw,South Africa
380,381,Shivam Sharma,India
381,382,YS Chahal,India
382,383,LMP Simmons,West Indies
383,384,VH Zol,India
384,385,BCJ Cutting,Australia
385,386,Imran Tahir,India
386,387,BE Hendricks,South Africa
387,388,S Gopal,India
388,389,M de Lange,South Africa
389,390,R Tewatia,India
390,391,JO Holder,West Indies
391,392,Karanveer Singh,India
392,393,SS Iyer,India
393,394,DJ Hooda,India
394,395,Anureet Singh,India
395,396,KS Williamson,New Zealand
396,397,SA Abbott,New Zealand
397,398,J Suchith,India
398,399,RG More,India
399,400,HH Pandya,India
400,401,D Wiese,South Africa
401,402,SN Khan,India
402,403,MJ McClenaghan,New Zealand
403,404,DJ Muthuswami,India
404,405,PJ Cummins,Australia
405,406,SN Thakur,India
